epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,1093.72,0.82847,0.54296,1.07955,0.97991,0.977,0.98904,0.80661,0.73329,0.34298,1.01698,0.0086041,0.0086041,0.0086041
143,1101.36,0.83497,0.54443,1.08214,0.95815,0.97768,0.9911,0.81171,0.75309,0.34652,1.02244,0.0085942,0.0085942,0.0085942
144,1109,0.84179,0.56129,1.09046,0.96748,0.96855,0.99146,0.81458,0.72716,0.34168,1.01245,0.0085843,0.0085843,0.0085843
145,1116.82,0.82184,0.52884,1.07835,0.97891,0.97513,0.99122,0.82094,0.7013,0.33036,1.01015,0.0085744,0.0085744,0.0085744
146,1124.57,0.83959,0.54668,1.08866,0.9664,0.96804,0.98797,0.81561,0.70243,0.34727,1.01406,0.0085645,0.0085645,0.0085645
147,1132.19,0.81981,0.542,1.07277,0.9734,0.96423,0.98855,0.80119,0.75499,0.3679,1.02966,0.0085546,0.0085546,0.0085546
148,1139.8,0.83326,0.54305,1.07913,0.97645,0.97765,0.99225,0.80995,0.72563,0.32933,1.01811,0.0085447,0.0085447,0.0085447
149,1147.42,0.82499,0.53609,1.0731,0.97527,0.97224,0.98976,0.81568,0.70881,0.33151,1.01541,0.0085348,0.0085348,0.0085348
150,1155.04,0.81401,0.53214,1.07075,0.97231,0.9794,0.98886,0.80349,0.74173,0.33787,1.01906,0.0085249,0.0085249,0.0085249
151,1162.67,0.82495,0.54447,1.07413,0.96072,0.96584,0.98307,0.79851,0.74277,0.38897,1.01991,0.008515,0.008515,0.008515
152,1170.33,0.82469,0.54931,1.07193,0.97647,0.9728,0.99023,0.82213,0.72278,0.33634,1.00687,0.0085051,0.0085051,0.0085051
153,1178.18,0.81491,0.53668,1.06836,0.9685,0.97503,0.9903,0.81902,0.71131,0.33398,1.01561,0.0084952,0.0084952,0.0084952
154,1185.82,0.81671,0.535,1.07219,0.96978,0.97556,0.9917,0.82609,0.70137,0.33766,1.01096,0.0084853,0.0084853,0.0084853
155,1193.65,0.82289,0.53734,1.07634,0.97427,0.97033,0.99076,0.79886,0.74332,0.35447,1.02336,0.0084754,0.0084754,0.0084754
156,1201.28,0.81264,0.54029,1.06695,0.97723,0.96792,0.99212,0.81077,0.73366,0.3403,1.02133,0.0084655,0.0084655,0.0084655
157,1208.9,0.82359,0.54205,1.08138,0.95719,0.96121,0.985,0.81579,0.70244,0.35605,1.00876,0.0084556,0.0084556,0.0084556
